"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000033","PUBLISHED","1990","AFR","AGE100PLUS","BTSX","60","60.01235","","",""
"LIFE_0000000035","PUBLISHED","2013","AFR","AGE85-89","BTSX","4.1","4.14085","","",""
"LIFE_0000000035","PUBLISHED","2000","AFR","AGE55-59","BTSX","18.8","18.76440","","",""
"LIFE_0000000032","PUBLISHED","2012","AFR","AGE45-49","FMLE","3411","3410.96100","","",""
"LIFE_0000000035","PUBLISHED","1990","AFR","AGE25-29","MLE","38.8","38.79806","","",""
"LIFE_0000000029","PUBLISHED","2000","AFR","AGE35-39","MLE","0.013327","0.01333","","",""
"LIFE_0000000032","PUBLISHED","2012","AFR","AGE60-64","FMLE","5931.2","5931.23300","","",""
"LIFE_0000000030","PUBLISHED","2012","AFR","AGE45-49","BTSX","0.052449","0.05245","","",""
"LIFE_0000000033","PUBLISHED","2012","AFR","AGE40-44","FMLE","375353.7","375353.70000","","",""
"LIFE_0000000034","PUBLISHED","1990","AFR","AGE30-34","MLE","2496281","2496281.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","AFR","AGE95-99","BTSX","314.1","314.13240","","",""
"LIFE_0000000034","PUBLISHED","2012","AFR","AGE50-54","FMLE","1725538","1725538.00000","","",""
"LIFE_0000000030","PUBLISHED","2012","AFR","AGE30-34","BTSX","0.03324","0.03324","","",""
"LIFE_0000000031","PUBLISHED","2000","AFR","AGE10-14","MLE","81420.6","81420.59000","","",""
"LIFE_0000000032","PUBLISHED","2000","AFR","AGE5-9","MLE","2467.9","2467.86900","","",""
"LIFE_0000000032","PUBLISHED","2012","AFR","AGE75-79","FMLE","12381.2","12381.15000","","",""
"LIFE_0000000033","PUBLISHED","2012","AFR","AGE95-99","MLE","836.6","836.56260","","",""
"LIFE_0000000033","PUBLISHED","2012","AFR","AGE80-84","MLE","66830.1","66830.06000","","",""
"LIFE_0000000034","PUBLISHED","2012","AFR","AGE75-79","MLE","222156","222156.00000","","",""
"LIFE_0000000034","PUBLISHED","1990","AFR","AGE20-24","FMLE","3556819","3556819.00000","","",""
"LIFE_0000000033","PUBLISHED","1990","AFR","AGELT1","FMLE","93268.6","93268.64000","","",""
"LIFE_0000000034","PUBLISHED","2012","AFR","AGE90-94","MLE","7103.1","7103.10300","","",""
"LIFE_0000000035","PUBLISHED","2013","AFR","AGE50-54","MLE","22.8","22.76592","","",""
"LIFE_0000000032","PUBLISHED","2012","AFR","AGE100PLUS","MLE","40.3","40.27283","","",""
"LIFE_0000000029","PUBLISHED","2012","AFR","AGE15-19","MLE","0.003238","0.00324","","",""
"LIFE_0000000032","PUBLISHED","2000","AFR","AGE85-89","BTSX","4613.3","4613.28800","","",""
"LIFE_0000000029","PUBLISHED","2000","AFR","AGE55-59","BTSX","0.020003","0.02000","","",""
"LIFE_0000000029","PUBLISHED","2013","AFR","AGE25-29","FMLE","0.004884","0.00488","","",""
"LIFE_0000000035","PUBLISHED","2000","AFR","AGE95-99","FMLE","2.3","2.34793","","",""
"LIFE_0000000032","PUBLISHED","1990","AFR","AGE55-59","MLE","5567.5","5567.51200","","",""
"LIFE_0000000032","PUBLISHED","2012","AFR","AGE20-24","BTSX","1684.1","1684.05600","","",""
"LIFE_0000000029","PUBLISHED","2012","AFR","AGE90-94","FMLE","0.299327","0.29933","","",""
"LIFE_0000000033","PUBLISHED","1990","AFR","AGE50-54","MLE","275111.7","275111.70000","","",""
