"","","2013","2013","2013","2012","2012","2012","2000","2000","2000","1990","1990","1990"
"Indicator","Age Group"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.012721","0.011284","0.014096","0.013202","0.011694","0.014642","0.022148","0.019599","0.024594","0.034704","0.030986","0.038279"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.000578","0.000526","0.000627","0.000592","0.000545","0.000638","0.001118","0.001039","0.001193","0.002263","0.002177","0.002346"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.000292","0.000265","0.000318","0.000311","0.000281","0.000339","0.000413","0.000365","0.000459","0.000555","0.000501","0.000608"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.000317","0.000269","0.000363","0.000337","0.000283","0.000389","0.000401","0.000338","0.000462","0.000506","0.000416","0.000593"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.000873","0.000482","0.00125","0.000942","0.000502","0.001366","0.000992","0.000563","0.001407","0.001133","0.000687","0.00157"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.00128","0.000594","0.001952","0.001354","0.000616","0.002079","0.001458","0.0007","0.002205","0.001582","0.000836","0.002321"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.001404","0.000701","0.002103","0.00144","0.000723","0.002155","0.001566","0.000845","0.0023","0.001743","0.000955","0.002535"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.001578","0.000897","0.002266","0.001607","0.000928","0.002295","0.001776","0.001066","0.002508","0.002048","0.001207","0.002901"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.001901","0.001228","0.002596","0.001938","0.001271","0.00263","0.002208","0.001462","0.00298","0.00258","0.001647","0.003532"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.002493","0.001778","0.003247","0.002564","0.001835","0.003332","0.00299","0.002109","0.003904","0.003311","0.002276","0.004372"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.003557","0.002683","0.004484","0.003663","0.002742","0.00464","0.004199","0.003046","0.00541","0.004808","0.003472","0.006187"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.00525","0.003967","0.006619","0.005345","0.004037","0.00674","0.006028","0.00457","0.00757","0.007092","0.005285","0.008983"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.007577","0.005776","0.009526","0.007758","0.005893","0.009781","0.009016","0.006922","0.011276","0.010618","0.007979","0.013459"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.011323","0.008952","0.013951","0.01146","0.009017","0.014162","0.013808","0.010898","0.017013","0.015866","0.012055","0.020163"
"nMx - age-specific death rate between ages x and x+n"," 65-69 years","0.017106","0.013683","0.021004","0.017318","0.013832","0.021296","0.020956","0.016734","0.025818","0.02322","0.017799","0.029709"
"nMx - age-specific death rate between ages x and x+n"," 70-74 years","0.026608","0.021834","0.032312","0.026887","0.021998","0.032728","0.031794","0.025692","0.039379","0.035231","0.027684","0.044956"
"nMx - age-specific death rate between ages x and x+n"," 75-79 years","0.041649","0.035104","0.050006","0.042031","0.035436","0.050487","0.04772","0.039726","0.058777","0.053174","0.043345","0.067355"
