"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000035","PUBLISHED","1990","EUR","AGE35-39","BTSX","40.6","40.59669","","",""
"LIFE_0000000030","PUBLISHED","1990","EUR","AGE100PLUS","FMLE","1","1.00000","","",""
"LIFE_0000000034","PUBLISHED","2000","EUR","AGE60-64","FMLE","1918215","1918215.00000","","",""
"LIFE_0000000030","PUBLISHED","1990","EUR","AGE25-29","MLE","0.010103","0.01010","","",""
"LIFE_0000000034","PUBLISHED","2012","EUR","AGELT1","FMLE","7964938","7964938.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","EUR","AGE35-39","MLE","92247.1","92247.08000","","",""
"LIFE_0000000029","PUBLISHED","1990","EUR","AGE30-34","MLE","0.002584","0.00258","","",""
"LIFE_0000000035","PUBLISHED","2000","EUR","AGE55-59","FMLE","26","25.97119","","",""
"LIFE_0000000031","PUBLISHED","1990","EUR","AGE95-99","FMLE","4857.2","4857.23200","","",""
"LIFE_0000000034","PUBLISHED","1990","EUR","AGE40-44","BTSX","3339617","3339617.00000","","",""
"LIFE_0000000029","PUBLISHED","1990","EUR","AGE5-9","FMLE","0.000744","0.00074","","",""
"LIFE_0000000035","PUBLISHED","2013","EUR","AGE10-14","MLE","63.6","63.62175","","",""
"LIFE_0000000029","PUBLISHED","2012","EUR","AGE75-79","MLE","0.058809","0.05881","","",""
"LIFE_0000000029","PUBLISHED","2000","EUR","AGE1-4","BTSX","0.000937","0.00094","","",""
"LIFE_0000000033","PUBLISHED","2000","EUR","AGE65-69","FMLE","402120.1","402120.10000","","",""
"LIFE_0000000033","PUBLISHED","1990","EUR","AGE25-29","MLE","469683.2","469683.20000","","",""
"LIFE_0000000030","PUBLISHED","1990","EUR","AGE60-64","BTSX","0.081791","0.08179","","",""
"LIFE_0000000031","PUBLISHED","1990","EUR","AGE70-74","BTSX","65937.7","65937.66000","","",""
"LIFE_0000000031","PUBLISHED","2012","EUR","AGE100PLUS","BTSX","1483.7","1483.65900","","",""
"LIFE_0000000034","PUBLISHED","2012","EUR","AGE20-24","MLE","5271505","5271505.00000","","",""
"LIFE_0000000034","PUBLISHED","2012","EUR","AGE35-39","MLE","3817363","3817363.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","EUR","AGE55-59","BTSX","85748.9","85748.91000","","",""
"LIFE_0000000035","PUBLISHED","1990","EUR","AGE60-64","FMLE","21.2","21.23034","","",""
"LIFE_0000000032","PUBLISHED","1990","EUR","AGE65-69","BTSX","8518.8","8518.81100","","",""
"LIFE_0000000034","PUBLISHED","2000","EUR","AGE85-89","MLE","87804.5","87804.47000","","",""
"LIFE_0000000030","PUBLISHED","2013","EUR","AGE40-44","BTSX","0.012417","0.01242","","",""
"LIFE_0000000030","PUBLISHED","2012","EUR","AGE30-34","FMLE","0.004224","0.00422","","",""
"LIFE_0000000033","PUBLISHED","2012","EUR","AGE25-29","MLE","485111.5","485111.50000","","",""
"LIFE_0000000030","PUBLISHED","2012","EUR","AGE90-94","BTSX","0.628857","0.62886","","",""
"LIFE_0000000030","PUBLISHED","2012","EUR","AGE45-49","FMLE","0.011358","0.01136","","",""
"LIFE_0000000029","PUBLISHED","2000","EUR","AGELT1","MLE","0.020765","0.02077","","",""
"LIFE_0000000029","PUBLISHED","1990","EUR","AGE45-49","MLE","0.006716","0.00672","","",""
"LIFE_0000000029","PUBLISHED","1990","EUR","AGE80-84","BTSX","0.097873","0.09787","","",""
"LIFE_0000000031","PUBLISHED","1990","EUR","AGE80-84","FMLE","50491.1","50491.06000","","",""
"LIFE_0000000035","PUBLISHED","2000","EUR","AGE100PLUS","BTSX","2.1","2.10770","","",""
"LIFE_0000000029","PUBLISHED","1990","EUR","AGE65-69","BTSX","0.024185","0.02419","","",""
"LIFE_0000000030","PUBLISHED","2013","EUR","AGE5-9","MLE","0.001519","0.00152","","",""
"LIFE_0000000034","PUBLISHED","2013","EUR","AGE50-54","BTSX","2759266","2759266.00000","","",""
"LIFE_0000000033","PUBLISHED","2012","EUR","AGE1-4","FMLE","396002.6","396002.60000","","",""
