"","","2013","2013","2013","2012","2012","2012","2000","2000","2000","1990","1990","1990"
"Indicator","Age Group"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.038871","0.038064","0.039612","0.040189","0.03941","0.040904","0.064054","0.062686","0.065319","0.088574","0.084586","0.092334"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.002603","0.002889","0.002342","0.002736","0.003053","0.002445","0.005964","0.006858","0.005138","0.009619","0.01096","0.008356"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.001014","0.000996","0.001031","0.001045","0.001029","0.00106","0.001756","0.001835","0.001683","0.002617","0.002856","0.002392"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.000767","0.000738","0.000793","0.000791","0.000765","0.000815","0.001146","0.001149","0.001143","0.001474","0.001525","0.001426"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.001224","0.001211","0.001236","0.001263","0.001255","0.001271","0.001743","0.001839","0.001653","0.002134","0.002364","0.001919"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.001689","0.001577","0.001794","0.00174","0.001631","0.001843","0.002357","0.002391","0.002324","0.002815","0.003032","0.002612"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.001909","0.001643","0.002163","0.001959","0.001689","0.002217","0.002675","0.002488","0.002852","0.002977","0.003101","0.002862"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.002268","0.001816","0.002703","0.002328","0.001866","0.002773","0.003071","0.002617","0.0035","0.003351","0.003236","0.003458"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.002978","0.002219","0.00371","0.003048","0.002266","0.003799","0.003741","0.003004","0.004432","0.004064","0.003701","0.004398"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.003832","0.002816","0.00481","0.003907","0.002867","0.004905","0.004813","0.003773","0.005785","0.005434","0.00467","0.006171"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.005543","0.004105","0.006928","0.005632","0.004172","0.007037","0.006887","0.00534","0.008329","0.007711","0.0064","0.008996"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.008251","0.006107","0.010329","0.008355","0.006181","0.010455","0.010174","0.00803","0.012292","0.011731","0.00984","0.013618"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.012951","0.010086","0.015744","0.013093","0.0102","0.015902","0.015493","0.012699","0.01834","0.017614","0.014924","0.020309"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.021303","0.017255","0.025412","0.02144","0.017389","0.025597","0.024876","0.020834","0.029145","0.028278","0.024626","0.03189"
"nMx - age-specific death rate between ages x and x+n"," 65-69 years","0.033334","0.027706","0.039551","0.033595","0.027937","0.039826","0.03806","0.032615","0.043972","0.042278","0.03763","0.046931"
"nMx - age-specific death rate between ages x and x+n"," 70-74 years","0.052429","0.046351","0.059532","0.05272","0.046631","0.059864","0.058576","0.052615","0.065113","0.064008","0.058937","0.06927"
"nMx - age-specific death rate between ages x and x+n"," 75-79 years","0.078319","0.070409","0.088301","0.07874","0.070812","0.088692","0.087133","0.079626","0.095622","0.094293","0.088223","0.100911"
