"","","2013","2013","2013","2012","2012","2012","2000","2000","2000","1990","1990","1990"
"Indicator","Age Group"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"," Both sexes"," Female"," Male"
"nMx - age-specific death rate between ages x and x+n"," &lt;1 year","0.013136","0.011915","0.014214","0.013746","0.012472","0.014865","0.029123","0.026717","0.031284","0.041756","0.038893","0.044364"
"nMx - age-specific death rate between ages x and x+n"," 1-4 years","0.00065","0.000619","0.000676","0.000693","0.00065","0.00073","0.001819","0.001744","0.001885","0.003107","0.003072","0.00314"
"nMx - age-specific death rate between ages x and x+n"," 5-9 years","0.000383","0.000357","0.000406","0.000379","0.000353","0.000403","0.000577","0.000496","0.00065","0.001029","0.000894","0.001156"
"nMx - age-specific death rate between ages x and x+n"," 10-14 years","0.000311","0.000267","0.00035","0.000317","0.000274","0.000355","0.000477","0.000404","0.000544","0.000665","0.000567","0.000758"
"nMx - age-specific death rate between ages x and x+n"," 15-19  years","0.000474","0.000377","0.00056","0.000498","0.000401","0.000586","0.000777","0.000624","0.000921","0.000916","0.000753","0.001072"
"nMx - age-specific death rate between ages x and x+n"," 20-24 years","0.000664","0.000545","0.000773","0.000709","0.000581","0.000827","0.001128","0.000888","0.001356","0.001289","0.001088","0.001479"
"nMx - age-specific death rate between ages x and x+n"," 25-29 years","0.000724","0.000591","0.000848","0.000791","0.000643","0.000931","0.001269","0.001012","0.001516","0.001442","0.001212","0.001659"
"nMx - age-specific death rate between ages x and x+n"," 30-34 years","0.00086","0.000698","0.001015","0.000926","0.000748","0.001097","0.001463","0.00114","0.001768","0.001691","0.001386","0.001974"
"nMx - age-specific death rate between ages x and x+n"," 35-39 years","0.001119","0.000923","0.001308","0.001168","0.000955","0.001373","0.001756","0.001331","0.002161","0.002121","0.001714","0.002495"
"nMx - age-specific death rate between ages x and x+n"," 40-44 years","0.001729","0.001425","0.002022","0.001806","0.001473","0.002125","0.002589","0.001942","0.003195","0.002935","0.002335","0.0035"
"nMx - age-specific death rate between ages x and x+n"," 45-49 years","0.002723","0.002164","0.003259","0.002794","0.002219","0.003346","0.003692","0.00285","0.004479","0.004357","0.003412","0.005234"
"nMx - age-specific death rate between ages x and x+n"," 50-54 years","0.004418","0.003435","0.005367","0.004487","0.003496","0.005437","0.005568","0.004331","0.006754","0.006708","0.005266","0.008044"
"nMx - age-specific death rate between ages x and x+n"," 55-59 years","0.007348","0.005621","0.008999","0.007394","0.005692","0.00902","0.008881","0.00677","0.0109","0.01053","0.008114","0.01283"
"nMx - age-specific death rate between ages x and x+n"," 60-64 years","0.012338","0.009642","0.014984","0.012316","0.009636","0.014956","0.014686","0.01129","0.017986","0.017185","0.013372","0.020977"
"nMx - age-specific death rate between ages x and x+n"," 65-69 years","0.020135","0.015954","0.024419","0.020232","0.015991","0.024561","0.024237","0.018823","0.029809","0.027178","0.021536","0.0334"
"nMx - age-specific death rate between ages x and x+n"," 70-74 years","0.033313","0.027043","0.039979","0.033673","0.027315","0.040428","0.040207","0.032301","0.049091","0.045289","0.036972","0.055066"
"nMx - age-specific death rate between ages x and x+n"," 75-79 years","0.054366","0.045435","0.064763","0.054488","0.045476","0.065046","0.061885","0.051705","0.075376","0.06956","0.058768","0.084195"
