"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000033","PUBLISHED","2012","AMR","AGE35-39","BTSX","475567","475567.00000","","",""
"LIFE_0000000030","PUBLISHED","2000","AMR","AGE85-89","BTSX","0.458774","0.45877","","",""
"LIFE_0000000034","PUBLISHED","2012","AMR","AGE45-49","BTSX","3278769","3278769.00000","","",""
"LIFE_0000000032","PUBLISHED","1990","AMR","AGE75-79","MLE","13498.8","13498.77000","","",""
"LIFE_0000000030","PUBLISHED","1990","AMR","AGE75-79","FMLE","0.195815","0.19582","","",""
"LIFE_0000000030","PUBLISHED","2013","AMR","AGE55-59","FMLE","0.028492","0.02849","","",""
"LIFE_0000000032","PUBLISHED","1990","AMR","AGE10-14","BTSX","241.4","241.39830","","",""
"LIFE_0000000035","PUBLISHED","2012","AMR","AGE25-29","BTSX","53.5","53.47028","","",""
"LIFE_0000000035","PUBLISHED","1990","AMR","AGE95-99","BTSX","3.4","3.40607","","",""
"LIFE_0000000029","PUBLISHED","2000","AMR","AGE70-74","MLE","0.039379","0.03938","","",""
"LIFE_0000000031","PUBLISHED","1990","AMR","AGE55-59","FMLE","88185.1","88185.05000","","",""
"LIFE_0000000032","PUBLISHED","2013","AMR","AGE30-34","FMLE","436.7","436.66360","","",""
"LIFE_0000000032","PUBLISHED","2012","AMR","AGE20-24","MLE","1006.5","1006.46200","","",""
"LIFE_0000000029","PUBLISHED","2013","AMR","AGE35-39","BTSX","0.001901","0.00190","","",""
"LIFE_0000000029","PUBLISHED","2013","AMR","AGE20-24","BTSX","0.00128","0.00128","","",""
"LIFE_0000000033","PUBLISHED","1990","AMR","AGE60-64","FMLE","411610.7","411610.70000","","",""
"LIFE_0000000029","PUBLISHED","1990","AMR","AGE40-44","BTSX","0.003311","0.00331","","",""
"LIFE_0000000030","PUBLISHED","2013","AMR","AGE15-19","BTSX","0.004357","0.00436","","",""
"LIFE_0000000032","PUBLISHED","1990","AMR","AGE50-54","FMLE","2362.6","2362.57400","","",""
"LIFE_0000000031","PUBLISHED","2013","AMR","AGELT1","BTSX","100000","100000.00000","","",""
"LIFE_0000000034","PUBLISHED","2012","AMR","AGE85-89","FMLE","311072.1","311072.10000","","",""
"LIFE_0000000034","PUBLISHED","2012","AMR","AGE10-14","MLE","6367007","6367007.00000","","",""
"LIFE_0000000030","PUBLISHED","2013","AMR","AGE80-84","MLE","0.328191","0.32819","","",""
"LIFE_0000000029","PUBLISHED","2012","AMR","AGE70-74","BTSX","0.026887","0.02689","","",""
"LIFE_0000000030","PUBLISHED","2000","AMR","AGE50-54","MLE","0.037166","0.03717","","",""
"LIFE_0000000030","PUBLISHED","2012","AMR","AGE65-69","BTSX","0.083175","0.08318","","",""
"LIFE_0000000033","PUBLISHED","1990","AMR","AGE30-34","FMLE","471249.6","471249.60000","","",""
"LIFE_0000000030","PUBLISHED","2012","AMR","AGE80-84","BTSX","0.291757","0.29176","","",""
"LIFE_0000000034","PUBLISHED","1990","AMR","AGE100PLUS","BTSX","3587.9","3587.87900","","",""
"LIFE_0000000031","PUBLISHED","2000","AMR","AGE45-49","MLE","89560.2","89560.21000","","",""
"LIFE_0000000032","PUBLISHED","2012","AMR","AGE95-99","FMLE","8316.3","8316.25400","","",""
"LIFE_0000000031","PUBLISHED","1990","AMR","AGE95-99","MLE","2883.7","2883.71300","","",""
"LIFE_0000000031","PUBLISHED","2013","AMR","AGE75-79","MLE","58977.2","58977.19000","","",""
"LIFE_0000000030","PUBLISHED","2000","AMR","AGE25-29","FMLE","0.004216","0.00422","","",""
"LIFE_0000000032","PUBLISHED","2000","AMR","AGE1-4","FMLE","406.6","406.60490","","",""
"LIFE_0000000030","PUBLISHED","2000","AMR","AGELT1","FMLE","0.019259","0.01926","","",""
"LIFE_0000000035","PUBLISHED","2012","AMR","AGE50-54","FMLE","32.5","32.45947","","",""
"LIFE_0000000032","PUBLISHED","1990","AMR","AGE20-24","MLE","1085.6","1085.55900","","",""
"LIFE_0000000030","PUBLISHED","1990","AMR","AGE90-94","FMLE","0.599791","0.59979","","",""
"LIFE_0000000033","PUBLISHED","2013","AMR","AGE85-89","FMLE","179853.7","179853.70000","","",""
