"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000031","PUBLISHED","2012","SEAR","AGE85-89","MLE","12972.3","12972.26000","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE75-79","BTSX","32799.9","32799.89000","","",""
"LIFE_0000000029","PUBLISHED","2013","SEAR","AGE20-24","FMLE","0.001577","0.00158","","",""
"LIFE_0000000032","PUBLISHED","2012","SEAR","AGE80-84","MLE","11815.9","11815.94000","","",""
"LIFE_0000000029","PUBLISHED","2000","SEAR","AGE50-54","BTSX","0.010174","0.01017","","",""
"LIFE_0000000035","PUBLISHED","1990","SEAR","AGE40-44","BTSX","31.1","31.11861","","",""
"LIFE_0000000032","PUBLISHED","2012","SEAR","AGE55-59","FMLE","4203.6","4203.57600","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE50-54","MLE","4909.8","4909.78500","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE35-39","MLE","1786.2","1786.15200","","",""
"LIFE_0000000035","PUBLISHED","1990","SEAR","AGE5-9","MLE","60.9","60.86876","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE80-84","MLE","0.142604","0.14260","","",""
"LIFE_0000000032","PUBLISHED","2012","SEAR","AGE40-44","FMLE","1283.3","1283.27300","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE90-94","MLE","0.674055","0.67406","","",""
"LIFE_0000000032","PUBLISHED","1990","SEAR","AGE70-74","BTSX","12555.2","12555.15000","","",""
"LIFE_0000000030","PUBLISHED","2000","SEAR","AGE45-49","BTSX","0.033885","0.03389","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE30-34","BTSX","0.002328","0.00233","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE40-44","MLE","0.023781","0.02378","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE40-44","MLE","2404299","2404299.00000","","",""
"LIFE_0000000034","PUBLISHED","2013","SEAR","AGE85-89","BTSX","88599.4","88599.38000","","",""
"LIFE_0000000030","PUBLISHED","2000","SEAR","AGE30-34","BTSX","0.015243","0.01524","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE30-34","FMLE","4119978","4119978.00000","","",""
"LIFE_0000000033","PUBLISHED","1990","SEAR","AGE30-34","MLE","414135.1","414135.10000","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE60-64","MLE","345445.1","345445.10000","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE95-99","BTSX","6388.5","6388.53000","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE95-99","MLE","0.281406","0.28141","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE100PLUS","BTSX","0.395408","0.39541","","",""
"LIFE_0000000032","PUBLISHED","2012","SEAR","AGE65-69","MLE","11712.2","11712.20000","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGELT1","BTSX","97263.8","97263.75000","","",""
"LIFE_0000000033","PUBLISHED","1990","SEAR","AGE5-9","FMLE","437213.8","437213.80000","","",""
"LIFE_0000000031","PUBLISHED","1990","SEAR","AGE55-59","MLE","69523.6","69523.64000","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE75-79","BTSX","0.328402","0.32840","","",""
"LIFE_0000000034","PUBLISHED","2012","SEAR","AGE70-74","MLE","549358.8","549358.80000","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE15-19","FMLE","0.006036","0.00604","","",""
"LIFE_0000000034","PUBLISHED","1990","SEAR","AGE75-79","BTSX","255421.8","255421.80000","","",""
"LIFE_0000000030","PUBLISHED","2013","SEAR","AGE1-4","FMLE","0.011472","0.01147","","",""
"LIFE_0000000032","PUBLISHED","2013","SEAR","AGE50-54","FMLE","2630.5","2630.46700","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE20-24","MLE","0.009177","0.00918","","",""
"LIFE_0000000033","PUBLISHED","2012","SEAR","AGE10-14","BTSX","471828.2","471828.20000","","",""
"LIFE_0000000032","PUBLISHED","2013","SEAR","AGE90-94","MLE","3716.2","3716.18200","","",""
"LIFE_0000000035","PUBLISHED","2000","SEAR","AGE50-54","BTSX","23.9","23.88354","","",""
"LIFE_0000000033","PUBLISHED","2013","SEAR","AGE5-9","BTSX","474861.7","474861.70000","","",""
"LIFE_0000000030","PUBLISHED","2012","SEAR","AGE95-99","FMLE","0.747465","0.74747","","",""
"LIFE_0000000032","PUBLISHED","2013","SEAR","AGE10-14","BTSX","362.5","362.46850","","",""
"LIFE_0000000033","PUBLISHED","2013","SEAR","AGE85-89","MLE","44938.2","44938.17000","","",""
"LIFE_0000000029","PUBLISHED","2012","SEAR","AGE25-29","MLE","0.002217","0.00222","","",""
"LIFE_0000000029","PUBLISHED","1990","SEAR","AGE55-59","FMLE","0.014924","0.01492","","",""
"LIFE_0000000034","PUBLISHED","2000","SEAR","AGE50-54","MLE","1772087","1772087.00000","","",""
"LIFE_0000000035","PUBLISHED","2013","SEAR","AGE95-99","BTSX","3.4","3.38663","","",""
"LIFE_0000000030","PUBLISHED","1990","SEAR","AGE50-54","FMLE","0.04808","0.04808","","",""
