"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE40-44","BTSX","0.023751","0.02375","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGELT1","FMLE","0.039997","0.04000","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE1-4","MLE","6514005","6514005.00000","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE100PLUS","MLE","268.1","268.14090","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE40-44","BTSX","1418.4","1418.39900","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGE1-4","FMLE","1402.4","1402.36000","","",""
"LIFE_0000000029","PUBLISHED","1990","EMR","AGE30-34","BTSX","0.003098","0.00310","","",""
"LIFE_0000000029","PUBLISHED","1990","EMR","AGE45-49","BTSX","0.006622","0.00662","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE55-59","FMLE","1952534","1952534.00000","","",""
"LIFE_0000000031","PUBLISHED","1990","EMR","AGE100PLUS","MLE","65.2","65.18988","","",""
"LIFE_0000000034","PUBLISHED","2000","EMR","AGE25-29","FMLE","4353895","4353895.00000","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE85-89","FMLE","21477.4","21477.37000","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE15-19","FMLE","0.001067","0.00107","","",""
"LIFE_0000000031","PUBLISHED","2012","EMR","AGE45-49","MLE","85936.9","85936.89000","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE60-64","FMLE","392655.5","392655.50000","","",""
"LIFE_0000000032","PUBLISHED","2013","EMR","AGE80-84","FMLE","16469.3","16469.30000","","",""
"LIFE_0000000029","PUBLISHED","2012","EMR","AGE40-44","MLE","0.003944","0.00394","","",""
"LIFE_0000000033","PUBLISHED","2013","EMR","AGE75-79","FMLE","231474.6","231474.60000","","",""
"LIFE_0000000033","PUBLISHED","1990","EMR","AGE10-14","BTSX","441948.6","441948.60000","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE5-9","MLE","0.010352","0.01035","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE50-54","FMLE","3028","3028.02700","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE30-34","FMLE","441882.7","441882.70000","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGE60-64","BTSX","6630.8","6630.75800","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE90-94","BTSX","14119","14119.01000","","",""
"LIFE_0000000034","PUBLISHED","2000","EMR","AGE50-54","MLE","1956619","1956619.00000","","",""
"LIFE_0000000030","PUBLISHED","1990","EMR","AGE25-29","BTSX","0.013541","0.01354","","",""
"LIFE_0000000034","PUBLISHED","2013","EMR","AGE30-34","BTSX","4039283","4039283.00000","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE90-94","MLE","3466.8","3466.75800","","",""
"LIFE_0000000030","PUBLISHED","2012","EMR","AGE70-74","BTSX","0.210465","0.21047","","",""
"LIFE_0000000033","PUBLISHED","1990","EMR","AGE25-29","BTSX","427836.7","427836.70000","","",""
"LIFE_0000000029","PUBLISHED","1990","EMR","AGE25-29","MLE","0.002959","0.00296","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGE100PLUS","FMLE","303.8","303.79810","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE55-59","MLE","81306.2","81306.22000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE45-49","MLE","0.027158","0.02716","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE5-9","BTSX","457259","457259.00000","","",""
"LIFE_0000000031","PUBLISHED","2000","EMR","AGE10-14","MLE","90784.9","90784.88000","","",""
"LIFE_0000000032","PUBLISHED","2000","EMR","AGE80-84","FMLE","15294.4","15294.44000","","",""
"LIFE_0000000035","PUBLISHED","2000","EMR","AGELT1","BTSX","64.9","64.93354","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE50-54","MLE","0.008648","0.00865","","",""
"LIFE_0000000032","PUBLISHED","2012","EMR","AGE100PLUS","MLE","129.5","129.49670","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE90-94","BTSX","3.4","3.35272","","",""
"LIFE_0000000035","PUBLISHED","2012","EMR","AGE55-59","MLE","20.9","20.93648","","",""
"LIFE_0000000031","PUBLISHED","2013","EMR","AGE60-64","BTSX","78659.7","78659.71000","","",""
"LIFE_0000000034","PUBLISHED","2012","EMR","AGE75-79","MLE","358304.8","358304.80000","","",""
"LIFE_0000000035","PUBLISHED","2000","EMR","AGE50-54","FMLE","26.2","26.15347","","",""
"LIFE_0000000033","PUBLISHED","2000","EMR","AGE20-24","BTSX","447855.8","447855.80000","","",""
"LIFE_0000000030","PUBLISHED","2013","EMR","AGE95-99","BTSX","0.861307","0.86131","","",""
"LIFE_0000000029","PUBLISHED","2000","EMR","AGE20-24","MLE","0.002171","0.00217","","",""
"LIFE_0000000029","PUBLISHED","2013","EMR","AGE85-89","BTSX","0.186646","0.18665","","",""
