"GHO","PUBLISHSTATE","YEAR","REGION","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE35-39","FMLE","0.004604","0.00460","","",""
"LIFE_0000000032","PUBLISHED","2012","WPR","AGE100PLUS","MLE","440.2","440.18380","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGE100PLUS","BTSX","0.379885","0.37989","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE5-9","FMLE","0.002477","0.00248","","",""
"LIFE_0000000029","PUBLISHED","2000","WPR","AGE55-59","BTSX","0.008881","0.00888","","",""
"LIFE_0000000030","PUBLISHED","2000","WPR","AGE65-69","BTSX","0.114604","0.11460","","",""
"LIFE_0000000033","PUBLISHED","2013","WPR","AGE30-34","MLE","483308.5","483308.50000","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE15-19","BTSX","489577","489577.00000","","",""
"LIFE_0000000033","PUBLISHED","2012","WPR","AGE30-34","BTSX","484191","484191.00000","","",""
"LIFE_0000000029","PUBLISHED","2000","WPR","AGE85-89","BTSX","0.14292","0.14292","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE20-24","FMLE","0.00272","0.00272","","",""
"LIFE_0000000034","PUBLISHED","2012","WPR","AGE10-14","BTSX","6610893","6610893.00000","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE100PLUS","MLE","2.3","2.31307","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGE90-94","BTSX","3.5","3.54216","","",""
"LIFE_0000000035","PUBLISHED","1990","WPR","AGE15-19","FMLE","61","60.96920","","",""
"LIFE_0000000030","PUBLISHED","2013","WPR","AGE5-9","FMLE","0.001781","0.00178","","",""
"LIFE_0000000029","PUBLISHED","2013","WPR","AGE55-59","FMLE","0.005621","0.00562","","",""
"LIFE_0000000030","PUBLISHED","1990","WPR","AGE95-99","MLE","0.873762","0.87376","","",""
"LIFE_0000000031","PUBLISHED","2013","WPR","AGE70-74","MLE","71231.6","71231.59000","","",""
"LIFE_0000000034","PUBLISHED","2012","WPR","AGE35-39","FMLE","4378168","4378168.00000","","",""
"LIFE_0000000035","PUBLISHED","2012","WPR","AGE60-64","FMLE","22.2","22.15164","","",""
"LIFE_0000000031","PUBLISHED","2000","WPR","AGE1-4","FMLE","97391","97391.00000","","",""
